future,linear_corr,exp_corr
F_AD,-0.847031211688217,-0.21576992430884165
F_BO,-0.7122186067367046,0.025000640540848888
F_BP,-0.8164444137092437,-0.2314846103359392
F_C,-0.5848352773453535,-0.02043317073452112
F_CC,-0.39608827495768023,-0.08195907397736864
F_CD,-0.8840806491721649,-0.22134256756136841
F_CL,-0.728951571005669,-0.2503693215975328
F_CT,-0.49888633368979074,-0.06398604728598817
F_DX,0.8068007830144202,0.12440655788368624
F_EC,-0.7368839918172934,-0.1012680895347911
F_ED,-0.5426817165982559,0.18587151076432692
F_ES,0.9745130841462609,0.5612288790489119
F_FC,0.05429565361650184,-0.11872531795946537
F_FV,-0.0769206107571155,0.410088597996262
F_GC,0.14038323442819975,0.5136099807194111
F_HG,-0.5553413027234633,0.14928810410199544
F_HO,-0.6689393952376167,-0.2803173565128661
F_JY,-0.7164171515526665,-0.10920627582483262
F_KC,-0.6849700007466912,-0.1764650933073813
F_LB,0.6648044287388544,0.7655577080436183
F_LC,-0.04775173823759328,-0.11504756587940212
F_LN,-0.4851217436928424,-0.10968444209248157
F_MD,0.9524540392292552,0.47613783894406125
F_MP,-0.9283245799550953,-0.336184477006126
F_NG,-0.6635739795868882,-0.21561347071981954
F_NQ,0.9328674211546145,0.68596434919589
F_NR,-0.45484736386658775,0.005728324852207343
F_O,-0.34600766561978996,0.13037809129356914
F_OJ,-0.3849461712811253,-0.2666474546378725
F_PA,0.7703517786821228,0.6976384409937817
F_PL,-0.8960934025085333,-0.1640043405581284
F_RB,-0.7033818790025729,-0.25911034220218265
F_RU,0.9285828851706662,0.5262202257230855
F_S,-0.5488918533128552,0.08166531572921375
F_SB,-0.7235627785314902,-0.1432333989936519
F_SF,-0.09204062862602451,0.2157383179423573
F_SI,-0.5173655428908085,0.11976188235078114
F_SM,-0.2323090703916135,0.13862651788898706
F_TU,-0.44672232612834084,0.24247920145077576
F_TY,0.3101504676938788,0.4615421297787223
F_US,0.7592036173164814,0.39416838328151477
F_W,-0.5382028338326436,0.06384588379197377
F_XX,0.715137704676657,0.19359802683462327
F_YM,0.9703051244322406,0.49805634886018924
F_AX,0.9257614654924344,0.37491098982000404
F_CA,0.8584992420570066,0.3267153884619755
F_DT,0.9595323709793915,0.39083888237078873
F_UB,0.9278157772122726,0.33365367986711525
F_UZ,0.8760905701335081,0.26093317103560454
F_GS,0.6668710236872707,0.4207133224564954
F_LX,0.6637764877778632,-0.02224527761703181
F_SS,0.5131878257676092,0.568323261376326
F_DL,-0.054320396186458245,0.056069762074244446
F_ZQ,-0.5818036553802451,0.14548050720204295
F_VX,-0.040534252245099774,0.3267961140275996
F_AE,0.9375428327151483,0.4627862623338547
F_BG,-0.6856004912839658,-0.29380448364370804
F_BC,-0.7012417902560071,-0.2481562836410639
F_LU,-0.6061842479910097,-0.2381048326778461
F_DM,0.9667251119935443,0.4226508183607748
F_AH,-0.9091058455571801,-0.2879434691894145
F_CF,0.8324345501213313,0.3649090228708937
F_DZ,0.964984090574903,0.4670706656853926
F_FB,-0.5848684856565946,-0.44659549891637174
F_FL,-0.7417543901788882,-0.17871286161739702
F_FM,0.9172419855975967,0.34110779753193227
F_FP,0.9292822049888401,0.4398042685392234
F_FY,0.8569958843190045,0.2960848839580801
F_GX,0.9495135813630167,0.47817914460730243
F_HP,-0.6589546318741336,-0.2110743226895752
F_LR,-0.9507696016433151,-0.3845559692411561
F_LQ,-0.4452171652925282,-0.1543935652592976
F_ND,-0.6443652825222423,-0.17730065850670593
F_NY,0.9357029208635006,0.47566969452835395
F_PQ,-0.7286652266751926,-0.26670052617676154
F_RR,-0.9056979593844628,-0.300852550592926
F_RF,-0.7699090954347884,-0.2478386189096505
F_RP,0.2948417203154604,0.23913354462546005
F_RY,0.3292968403564369,0.04646440599974226
F_SH,0.9423436024314439,0.4386193515369271
F_SX,0.9008817490635455,0.4368226299204473
F_TR,-0.9165811506767721,-0.2819074123236868
F_EB,0.8860656275727518,0.29444256578029454
F_VF,0.9071673724982704,0.3360803960156559
F_VT,0.9292876116373194,0.3925524841167353
F_VW,0.8991423333688644,0.3007434413095444
F_GD,-0.7335224108077234,-0.2029643678265179
F_F,0.8566331894150994,0.2215307584607293
