future,accuracy,roc,f1,precision,recall
F_AD,0.47186147186147187,0.4847689075630252,0.6257668711656441,0.4766355140186916,0.9107142857142857
F_BO,0.5238095238095238,0.5,0.0,0.0,0.0
F_BP,0.5454545454545454,0.5152180496668686,0.2953020134228188,0.4888888888888889,0.21153846153846154
F_C,0.49783549783549785,0.5042735042735043,0.016949152542372885,1.0,0.008547008547008548
F_CC,0.5064935064935064,0.5043478260869565,0.017241379310344827,1.0,0.008695652173913044
F_CD,0.5108225108225108,0.49606092436974786,0.017391304347826087,0.3333333333333333,0.008928571428571428
F_CL,0.48484848484848486,0.46904761904761905,0.5765124555160143,0.5225806451612903,0.6428571428571429
F_CT,0.4935064935064935,0.5,0.0,0.0,0.0
F_DX,0.5274261603375527,0.5083655083655083,0.6455696202531644,0.5368421052631579,0.8095238095238095
F_EC,0.4805194805194805,0.4814127801332526,0.4594594594594595,0.4322033898305085,0.49038461538461536
F_ED,0.5281385281385281,0.518261586920654,0.11382113821138212,0.7,0.061946902654867256
F_ES,0.5627705627705628,0.5,0.7202216066481995,0.5627705627705628,1.0
F_FC,0.5194805194805194,0.5232863356832158,0.587360594795539,0.5064102564102564,0.6991150442477876
F_FV,0.5757575757575758,0.5753872762821476,0.5916666666666666,0.6016949152542372,0.5819672131147541
F_GC,0.48484848484848486,0.4594821020563595,0.5910652920962199,0.5341614906832298,0.6615384615384615
F_HG,0.5281385281385281,0.5265231092436974,0.49302325581395345,0.5145631067961165,0.4732142857142857
F_HO,0.5147679324894515,0.49125,0.6666666666666666,0.5227272727272727,0.92
F_JY,0.5411255411255411,0.5284253271168596,0.38372093023255816,0.5238095238095238,0.30275229357798167
F_KC,0.48917748917748916,0.5042016806722689,0.016666666666666666,1.0,0.008403361344537815
F_LB,0.5108225108225108,0.4958264400661754,0.3067484662576687,0.46296296296296297,0.22935779816513763
F_LC,0.48917748917748916,0.49906254687265633,0.078125,0.5,0.0423728813559322
F_LN,0.47619047619047616,0.48305785123966943,0.5328185328185328,0.46308724832214765,0.6272727272727273
F_MD,0.5670995670995671,0.5,0.7237569060773481,0.5670995670995671,1.0
F_MP,0.47186147186147187,0.4954545454545455,0.0,0.0,0.0
F_NG,0.5108225108225108,0.5,0.41450777202072536,0.45454545454545453,0.38095238095238093
F_NQ,0.5887445887445888,0.5,0.7411444141689374,0.5887445887445888,1.0
F_NR,0.46320346320346323,0.49537037037037035,0.0,0.0,0.0
F_O,0.48484848484848486,0.4894957983193277,0.4020100502512563,0.5,0.33613445378151263
F_OJ,0.4675324675324675,0.4617633828160144,0.031496062992125984,0.15384615384615385,0.017543859649122806
F_PA,0.6147186147186147,0.5,0.7613941018766757,0.6147186147186147,1.0
F_PL,0.47619047619047616,0.4833333333333334,0.3730569948186528,0.4931506849315068,0.3
F_RB,0.45454545454545453,0.44365079365079363,0.5298507462686567,0.5,0.5634920634920635
F_RU,0.5454545454545454,0.49606299212598426,0.7058823529411764,0.5478260869565217,0.9921259842519685
F_S,0.5367965367965368,0.5362981850907454,0.5201793721973095,0.5272727272727272,0.5132743362831859
F_SB,0.5367965367965368,0.5,0.0,0.0,0.0
F_SF,0.5757575757575758,0.5050505050505051,0.02,1.0,0.010101010101010102
F_SI,0.5541125541125541,0.5325396825396824,0.6531986531986532,0.5672514619883041,0.7698412698412699
F_SM,0.5497835497835498,0.5,0.0,0.0,0.0
F_TU,0.5108225108225108,0.49268018018018017,0.05042016806722689,0.375,0.02702702702702703
F_TY,0.5714285714285714,0.568443367655966,0.6055776892430278,0.6129032258064516,0.5984251968503937
F_US,0.5584415584415584,0.530511811023622,0.6688311688311689,0.569060773480663,0.8110236220472441
F_W,0.5108225108225108,0.5,0.0,0.0,0.0
F_XX,0.5829787234042553,0.5112962962962964,0.73224043715847,0.5800865800865801,0.9925925925925926
F_YM,0.5844155844155844,0.5,0.7377049180327869,0.5844155844155844,1.0
F_AX,0.5872340425531914,0.5051020408163265,0.738544474393531,0.5854700854700855,1.0
F_CA,0.5872340425531914,0.49801408872901676,0.738544474393531,0.5905172413793104,0.9856115107913669
F_DT,0.5829787234042553,0.5276057791537667,0.72,0.5806451612903226,0.9473684210526315
F_UB,0.5276595744680851,0.5139190952588082,0.6801152737752162,0.5221238938053098,0.9752066115702479
F_UZ,0.5404255319148936,0.5006926217556139,0.01818181818181818,0.5,0.009259259259259259
F_GS,0.5364806866952789,0.5301505664877758,0.5846153846153846,0.5801526717557252,0.5891472868217055
F_LX,0.5236051502145923,0.5,0.6873239436619719,0.5236051502145923,1.0
F_SS,0.5450643776824035,0.5,0.0,0.0,0.0
F_DL,0.5608695652173913,0.5608082492986579,0.5738396624472574,0.5862068965517241,0.5619834710743802
F_ZQ,0.6536796536796536,0.5,0.0,0.0,0.0
F_VX,0.620253164556962,0.5,0.0,0.0,0.0
F_AE,0.5805084745762712,0.5014008700140087,0.7331536388140163,0.5811965811965812,0.9927007299270073
F_BG,0.5063291139240507,0.5022464698331194,0.5617977528089888,0.5208333333333334,0.6097560975609756
F_BC,0.5021097046413502,0.4932422717469447,0.562962962962963,0.5428571428571428,0.5846153846153846
F_LU,0.5021459227467812,0.4975925925925926,0.4476190476190476,0.46078431372549017,0.4351851851851852
F_DM,0.5872340425531914,0.49624060150375937,0.7371273712737128,0.5938864628820961,0.9714285714285714
F_AH,0.5497835497835498,0.5,0.0,0.0,0.0
F_CF,0.4805194805194805,0.49527310924369744,0.6470588235294117,0.4824561403508772,0.9821428571428571
F_DZ,0.5341880341880342,0.5,0.6963788300835655,0.5341880341880342,1.0
F_FB,0.5319148936170213,0.5188125271857329,0.140625,0.6428571428571429,0.07894736842105263
F_FL,0.5,0.42857142857142855,0.6666666666666665,0.5454545454545454,0.8571428571428571
F_FM,0.5887445887445888,0.5179914070891514,0.7338935574229691,0.5848214285714286,0.9849624060150376
F_FP,0.5388349514563107,0.5,0.7003154574132492,0.5388349514563107,1.0
F_FY,0.5787234042553191,0.5,0.7331536388140162,0.5787234042553191,1.0
F_GX,0.5531914893617021,0.4955771782397169,0.7025495750708214,0.5636363636363636,0.9323308270676691
F_HP,0.46956521739130436,0.4755799755799755,0.47863247863247865,0.4307692307692308,0.5384615384615384
F_LR,0.5800865800865801,0.5582604763340369,0.36601307189542476,0.6086956521739131,0.2616822429906542
F_LQ,0.5459770114942529,0.5558108108108107,0.5380116959064327,0.4742268041237113,0.6216216216216216
F_ND,0.5021645021645021,0.518423823131298,0.6048109965635738,0.4835164835164835,0.8073394495412844
F_NY,0.5670995670995671,0.5227135069654755,0.7109826589595375,0.5616438356164384,0.968503937007874
F_PQ,0.5472636815920398,0.5118378812199037,0.669090909090909,0.5644171779141104,0.8214285714285714
F_RR,0.5238095238095238,0.5,0.0,0.0,0.0
F_RF,0.5541125541125541,0.5,0.0,0.0,0.0
F_RP,0.46320346320346323,0.5,0.0,0.0,0.0
F_RY,0.5108225108225108,0.5049811320754718,0.44878048780487806,0.46464646464646464,0.4339622641509434
F_SH,0.5670995670995671,0.5047328244274809,0.7175141242937851,0.5695067264573991,0.9694656488549618
F_SX,0.5930735930735931,0.5,0.7445652173913043,0.5930735930735931,1.0
F_TR,0.47619047619047616,0.5021431794254775,0.07633587786259541,0.5555555555555556,0.040983606557377046
F_EB,0.5849056603773585,0.5,0.0,0.0,0.0
F_VF,0.5494505494505495,0.5,0.7092198581560284,0.5494505494505495,1.0
F_VT,0.5510204081632653,0.48214285714285715,0.7105263157894737,0.5625,0.9642857142857143
F_VW,0.5604395604395604,0.5441016333938294,0.27272727272727276,0.6521739130434783,0.1724137931034483
F_GD,0.49074074074074076,0.4923010004349717,0.5132743362831859,0.5523809523809524,0.4793388429752066
F_F,0.7319148936170212,0.5,0.0,0.0,0.0
